Module,Feature,Actor,Method,Endpoint,ActionHandler,RouteFile,PrimaryService,SchemaValidation,DBCollections,LifecycleStateImpact,UserFrontendMapping,AdminFrontendMapping,Notes
Alerts,Admin Smart Alerts,Admin,GET,/api/v1/admin/smart-alerts,smartAlertController.getSmartAlerts,backend/src/routes/admin/finance.routes.ts,SmartAlertService,validateObjectId|permission guards,SmartAlert|UserWallet,,N/A,N/A,
Alerts,Admin Smart Alerts,Admin,DELETE,/api/v1/admin/smart-alerts/:id,smartAlertController.deleteSmartAlert,backend/src/routes/admin/finance.routes.ts,SmartAlertService,validateObjectId|permission guards,SmartAlert|UserWallet,,N/A,N/A,
Alerts,Smart Alerts and Saved Searches,User,GET,/api/v1/smart-alerts/,smartAlertController.getSmartAlerts,backend/src/routes/smartAlertRoutes.ts,SmartAlertService|SavedSearchService|WalletService,SmartAlertCreateSchema|SmartAlertUpdateSchema|SavedSearchCreateSchema,SmartAlert|SavedSearch|UserWallet|UserPlan,active inactive deleted + TTL expiry via expiresAt,frontend/src/api/user/smartAlerts.ts|frontend/src/api/user/savedSearches.ts|frontend/src/hooks/useSmartAlerts.ts,N/A,
Alerts,Smart Alerts and Saved Searches,User,POST,/api/v1/smart-alerts/,smartAlertController.createSmartAlert,backend/src/routes/smartAlertRoutes.ts,SmartAlertService|SavedSearchService|WalletService,SmartAlertCreateSchema|SmartAlertUpdateSchema|SavedSearchCreateSchema,SmartAlert|SavedSearch|UserWallet|UserPlan,active inactive deleted + TTL expiry via expiresAt,frontend/src/api/user/smartAlerts.ts|frontend/src/api/user/savedSearches.ts|frontend/src/hooks/useSmartAlerts.ts,N/A,
Alerts,Smart Alerts and Saved Searches,User,DELETE,/api/v1/smart-alerts/:id,smartAlertController.deleteSmartAlert,backend/src/routes/smartAlertRoutes.ts,SmartAlertService|SavedSearchService|WalletService,SmartAlertCreateSchema|SmartAlertUpdateSchema|SavedSearchCreateSchema,SmartAlert|SavedSearch|UserWallet|UserPlan,active inactive deleted + TTL expiry via expiresAt,frontend/src/api/user/smartAlerts.ts|frontend/src/api/user/savedSearches.ts|frontend/src/hooks/useSmartAlerts.ts,N/A,DELETE now performs hard delete (with wallet slot restore when applicable)
Alerts,Smart Alerts and Saved Searches,User,PUT,/api/v1/smart-alerts/:id,smartAlertController.updateSmartAlert,backend/src/routes/smartAlertRoutes.ts,SmartAlertService|SavedSearchService|WalletService,SmartAlertCreateSchema|SmartAlertUpdateSchema|SavedSearchCreateSchema,SmartAlert|SavedSearch|UserWallet|UserPlan,active inactive deleted + TTL expiry via expiresAt,frontend/src/api/user/smartAlerts.ts|frontend/src/api/user/savedSearches.ts|frontend/src/hooks/useSmartAlerts.ts,N/A,
Alerts,Smart Alerts and Saved Searches,User,PATCH,/api/v1/smart-alerts/:id/toggle-status,smartAlertController.toggleSmartAlertStatus,backend/src/routes/smartAlertRoutes.ts,SmartAlertService|SavedSearchService|WalletService,validateObjectId|mutationLimiter,SmartAlert|SavedSearch|UserWallet|UserPlan,active inactive deleted + TTL expiry via expiresAt,frontend/src/api/user/smartAlerts.ts|frontend/src/api/user/savedSearches.ts|frontend/src/hooks/useSmartAlerts.ts,N/A,Toggle isActive with wallet slot consume/restore semantics
Alerts,Smart Alerts and Saved Searches,User,GET,/api/v1/smart-alerts/saved-searches,smartAlertController.listSavedSearches,backend/src/routes/smartAlertRoutes.ts,SmartAlertService|SavedSearchService|WalletService,SmartAlertCreateSchema|SmartAlertUpdateSchema|SavedSearchCreateSchema,SmartAlert|SavedSearch|UserWallet|UserPlan,active inactive deleted + TTL expiry via expiresAt,frontend/src/api/user/smartAlerts.ts|frontend/src/api/user/savedSearches.ts|frontend/src/hooks/useSmartAlerts.ts,N/A,
Alerts,Smart Alerts and Saved Searches,User,POST,/api/v1/smart-alerts/saved-searches,smartAlertController.createSavedSearchEntry,backend/src/routes/smartAlertRoutes.ts,SmartAlertService|SavedSearchService|WalletService,SmartAlertCreateSchema|SmartAlertUpdateSchema|SavedSearchCreateSchema,SmartAlert|SavedSearch|UserWallet|UserPlan,active inactive deleted + TTL expiry via expiresAt,frontend/src/api/user/smartAlerts.ts|frontend/src/api/user/savedSearches.ts|frontend/src/hooks/useSmartAlerts.ts,N/A,
Alerts,Smart Alerts and Saved Searches,User,DELETE,/api/v1/smart-alerts/saved-searches/:id,smartAlertController.deleteSavedSearchEntry,backend/src/routes/smartAlertRoutes.ts,SmartAlertService|SavedSearchService|WalletService,SmartAlertCreateSchema|SmartAlertUpdateSchema|SavedSearchCreateSchema,SmartAlert|SavedSearch|UserWallet|UserPlan,active inactive deleted + TTL expiry via expiresAt,frontend/src/api/user/smartAlerts.ts|frontend/src/api/user/savedSearches.ts|frontend/src/hooks/useSmartAlerts.ts,N/A,
Business,Admin Business Lifecycle,Admin,DELETE,/api/v1/admin/businesses/:id,businessController.deleteBusinessAccount,backend/src/routes/admin/system.routes.ts,BusinessService|AdminBusinessService|StatusMutationService,validateObjectId|permission guards,Business|User|Ad,approve reject suspend renew delete with cascades,N/A,admin-frontend/src/app/(protected)/business-requests/BusinessRequestsView.tsx|admin-frontend/src/app/(protected)/businesses/BusinessesView.tsx,
Business,Admin Business Lifecycle,Admin,GET,/api/v1/admin/businesses/:id,businessController.getBusinessAccountById,backend/src/routes/admin/system.routes.ts,BusinessService|AdminBusinessService|StatusMutationService,validateObjectId|permission guards,Business|User|Ad,approve reject suspend renew delete with cascades,N/A,admin-frontend/src/app/(protected)/business-requests/BusinessRequestsView.tsx|admin-frontend/src/app/(protected)/businesses/BusinessesView.tsx,
Business,Admin Business Lifecycle,Admin,PUT,/api/v1/admin/businesses/:id,businessController.updateBusinessByAdmin,backend/src/routes/admin/system.routes.ts,BusinessService|AdminBusinessService|StatusMutationService,validateObjectId|permission guards,Business|User|Ad,approve reject suspend renew delete with cascades,N/A,admin-frontend/src/app/(protected)/business-requests/BusinessRequestsView.tsx|admin-frontend/src/app/(protected)/businesses/BusinessesView.tsx,
Business,Admin Business Lifecycle,Admin,PATCH,/api/v1/admin/businesses/:id/approve,businessController.approveBusinessAccount,backend/src/routes/admin/system.routes.ts,BusinessService|AdminBusinessService|StatusMutationService,validateObjectId|permission guards,Business|User|Ad,approve reject suspend renew delete with cascades,N/A,admin-frontend/src/app/(protected)/business-requests/BusinessRequestsView.tsx|admin-frontend/src/app/(protected)/businesses/BusinessesView.tsx,
Business,Admin Business Lifecycle,Admin,PATCH,/api/v1/admin/businesses/:id/reject,businessController.rejectBusinessAccount,backend/src/routes/admin/system.routes.ts,BusinessService|AdminBusinessService|StatusMutationService,validateObjectId|permission guards,Business|User|Ad,approve reject suspend renew delete with cascades,N/A,admin-frontend/src/app/(protected)/business-requests/BusinessRequestsView.tsx|admin-frontend/src/app/(protected)/businesses/BusinessesView.tsx,
Business,Admin Business Lifecycle,Admin,PATCH,/api/v1/admin/businesses/:id/status,businessController.updateBusinessStatus,backend/src/routes/admin/system.routes.ts,BusinessService|AdminBusinessService|StatusMutationService,validateObjectId|permission guards,Business|User|Ad,approve reject suspend renew delete with cascades,N/A,admin-frontend/src/app/(protected)/business-requests/BusinessRequestsView.tsx|admin-frontend/src/app/(protected)/businesses/BusinessesView.tsx,
Business,Admin Business Lifecycle,Admin,GET,/api/v1/admin/businesses/accounts,businessController.getBusinessAccounts,backend/src/routes/admin/system.routes.ts,BusinessService|AdminBusinessService|StatusMutationService,validateObjectId|permission guards,Business|User|Ad,approve reject suspend renew delete with cascades,N/A,admin-frontend/src/app/(protected)/business-requests/BusinessRequestsView.tsx|admin-frontend/src/app/(protected)/businesses/BusinessesView.tsx,
Business,Admin Business Lifecycle,Admin,GET,/api/v1/admin/businesses/overview,businessController.getBusinessOverview,backend/src/routes/admin/system.routes.ts,BusinessService|AdminBusinessService|StatusMutationService,validateObjectId|permission guards,Business|User|Ad,approve reject suspend renew delete with cascades,N/A,admin-frontend/src/app/(protected)/business-requests/BusinessRequestsView.tsx|admin-frontend/src/app/(protected)/businesses/BusinessesView.tsx,
Business,Admin Business Lifecycle,Admin,GET,/api/v1/admin/businesses/requests,businessController.getBusinessRequests,backend/src/routes/admin/system.routes.ts,BusinessService|AdminBusinessService|StatusMutationService,validateObjectId|permission guards,Business|User|Ad,approve reject suspend renew delete with cascades,N/A,admin-frontend/src/app/(protected)/business-requests/BusinessRequestsView.tsx|admin-frontend/src/app/(protected)/businesses/BusinessesView.tsx,
Business,Admin Business Lifecycle,Admin,GET,/api/v1/admin/businesses/requests/:id,businessController.getBusinessAccountById,backend/src/routes/admin/system.routes.ts,BusinessService|AdminBusinessService|StatusMutationService,validateObjectId|permission guards,Business|User|Ad,approve reject suspend renew delete with cascades,N/A,admin-frontend/src/app/(protected)/business-requests/BusinessRequestsView.tsx|admin-frontend/src/app/(protected)/businesses/BusinessesView.tsx,
Business,Admin Business Lifecycle,Admin,POST,/api/v1/admin/businesses/requests/:id/renew,businessController.renewBusinessAccount,backend/src/routes/admin/system.routes.ts,BusinessService|AdminBusinessService|StatusMutationService,validateObjectId|permission guards,Business|User|Ad,approve reject suspend renew delete with cascades,N/A,admin-frontend/src/app/(protected)/business-requests/BusinessRequestsView.tsx|admin-frontend/src/app/(protected)/businesses/BusinessesView.tsx,
Business,Registration and Edit Business,User/Public,GET,/api/v1/businesses/,businessController.getBusinesses,backend/src/routes/businessRoutes.ts,BusinessService|StatusMutationService,createBusinessSchema|updateBusinessSchema,Business|User|Ad(cascade),pending live rejected suspended deleted; critical edits reset to pending,frontend/src/api/user/businesses.ts|frontend/src/hooks/useBusiness.ts,N/A,
Business,Registration and Edit Business,User/Public,POST,/api/v1/businesses/,businessController.registerBusiness,backend/src/routes/businessRoutes.ts,BusinessService|StatusMutationService,createBusinessSchema|updateBusinessSchema,Business|User|Ad(cascade),pending live rejected suspended deleted; critical edits reset to pending,frontend/src/api/user/businesses.ts|frontend/src/hooks/useBusiness.ts,N/A,
Business,Registration and Edit Business,User/Public,GET,/api/v1/businesses/:id,businessController.getBusinessById,backend/src/routes/businessRoutes.ts,BusinessService|StatusMutationService,createBusinessSchema|updateBusinessSchema,Business|User|Ad(cascade),pending live rejected suspended deleted; critical edits reset to pending,frontend/src/api/user/businesses.ts|frontend/src/hooks/useBusiness.ts,N/A,
Business,Registration and Edit Business,User/Public,PATCH,/api/v1/businesses/:id,businessController.updateBusiness,backend/src/routes/businessRoutes.ts,BusinessService|StatusMutationService,createBusinessSchema|updateBusinessSchema,Business|User|Ad(cascade),pending live rejected suspended deleted; critical edits reset to pending,frontend/src/api/user/businesses.ts|frontend/src/hooks/useBusiness.ts,N/A,
Business,Registration and Edit Business,User/Public,GET,/api/v1/businesses/:id/ads,businessController.getBusinessAds,backend/src/routes/businessRoutes.ts,BusinessService|StatusMutationService,createBusinessSchema|updateBusinessSchema,Business|User|Ad(cascade),pending live rejected suspended deleted; critical edits reset to pending,frontend/src/api/user/businesses.ts|frontend/src/hooks/useBusiness.ts,N/A,
Business,Registration and Edit Business,User/Public,GET,/api/v1/businesses/:id/services,businessController.getBusinessServices,backend/src/routes/businessRoutes.ts,BusinessService|StatusMutationService,createBusinessSchema|updateBusinessSchema,Business|User|Ad(cascade),pending live rejected suspended deleted; critical edits reset to pending,frontend/src/api/user/businesses.ts|frontend/src/hooks/useBusiness.ts,N/A,
Business,Registration and Edit Business,User/Public,GET,/api/v1/businesses/:id/spare-parts,businessController.getBusinessSpareParts,backend/src/routes/businessRoutes.ts,BusinessService|StatusMutationService,createBusinessSchema|updateBusinessSchema,Business|User|Ad(cascade),pending live rejected suspended deleted; critical edits reset to pending,frontend/src/api/user/businesses.ts|frontend/src/hooks/useBusiness.ts,N/A,
Business,Registration and Edit Business,User/Public,GET,/api/v1/businesses/:id/stats,businessController.getBusinessStatsById,backend/src/routes/businessRoutes.ts,BusinessService|StatusMutationService,createBusinessSchema|updateBusinessSchema,Business|User|Ad(cascade),pending live rejected suspended deleted; critical edits reset to pending,frontend/src/api/user/businesses.ts|frontend/src/hooks/useBusiness.ts,N/A,
Business,Registration and Edit Business,User/Public,DELETE,/api/v1/businesses/me,businessController.withdrawBusiness,backend/src/routes/businessRoutes.ts,BusinessService|StatusMutationService,createBusinessSchema|updateBusinessSchema,Business|User|Ad(cascade),pending live rejected suspended deleted; critical edits reset to pending,frontend/src/api/user/businesses.ts|frontend/src/hooks/useBusiness.ts,N/A,
Business,Registration and Edit Business,User/Public,GET,/api/v1/businesses/me,businessController.getMyBusinesses,backend/src/routes/businessRoutes.ts,BusinessService|StatusMutationService,createBusinessSchema|updateBusinessSchema,Business|User|Ad(cascade),pending live rejected suspended deleted; critical edits reset to pending,frontend/src/api/user/businesses.ts|frontend/src/hooks/useBusiness.ts,N/A,
Business,Registration and Edit Business,User/Public,GET,/api/v1/businesses/me/stats,businessController.getMyBusinessStats,backend/src/routes/businessRoutes.ts,BusinessService|StatusMutationService,createBusinessSchema|updateBusinessSchema,Business|User|Ad(cascade),pending live rejected suspended deleted; critical edits reset to pending,frontend/src/api/user/businesses.ts|frontend/src/hooks/useBusiness.ts,N/A,
Business,Registration and Edit Business,User/Public,POST,/api/v1/businesses/upload,uploadFile,backend/src/routes/businessRoutes.ts,BusinessService|StatusMutationService,createBusinessSchema|updateBusinessSchema,Business|User|Ad(cascade),pending live rejected suspended deleted; critical edits reset to pending,frontend/src/api/user/businesses.ts|frontend/src/hooks/useBusiness.ts,N/A,
Chat,Admin Chat via /admin/chat,Admin,GET,/api/v1/admin/chat/:id,adminGetChat,backend/src/routes/admin/system.routes.ts,chatService,validateObjectId|permission guards,Conversation|ChatMessage|ChatReport,mute resolve report and moderation operations,N/A,admin-frontend/src/lib/api/adminChat.ts|admin-frontend/src/app/(protected)/chat/AdminChatView.tsx,
Chat,Admin Chat via /admin/chat,Admin,POST,/api/v1/admin/chat/export/:id,adminExportChat,backend/src/routes/admin/system.routes.ts,chatService,validateObjectId|permission guards,Conversation|ChatMessage|ChatReport,mute resolve report and moderation operations,N/A,admin-frontend/src/lib/api/adminChat.ts|admin-frontend/src/app/(protected)/chat/AdminChatView.tsx,
Chat,Admin Chat via /admin/chat,Admin,GET,/api/v1/admin/chat/list,adminListChats,backend/src/routes/admin/system.routes.ts,chatService,validateObjectId|permission guards,Conversation|ChatMessage|ChatReport,mute resolve report and moderation operations,N/A,admin-frontend/src/lib/api/adminChat.ts|admin-frontend/src/app/(protected)/chat/AdminChatView.tsx,
Chat,Admin Chat via /admin/chat,Admin,DELETE,/api/v1/admin/chat/message/:msgId,adminDeleteMsg,backend/src/routes/admin/system.routes.ts,chatService,validateObjectId|permission guards,Conversation|ChatMessage|ChatReport,mute resolve report and moderation operations,N/A,admin-frontend/src/lib/api/adminChat.ts|admin-frontend/src/app/(protected)/chat/AdminChatView.tsx,
Chat,Admin Chat via /admin/chat,Admin,POST,/api/v1/admin/chat/mute/:id,adminMuteChat,backend/src/routes/admin/system.routes.ts,chatService,validateObjectId|permission guards,Conversation|ChatMessage|ChatReport,mute resolve report and moderation operations,N/A,admin-frontend/src/lib/api/adminChat.ts|admin-frontend/src/app/(protected)/chat/AdminChatView.tsx,
Chat,Admin Chat via /admin/chat,Admin,PATCH,/api/v1/admin/chat/report/:id,adminResolveReport,backend/src/routes/admin/system.routes.ts,chatService,validateObjectId|permission guards,Conversation|ChatMessage|ChatReport,mute resolve report and moderation operations,N/A,admin-frontend/src/lib/api/adminChat.ts|admin-frontend/src/app/(protected)/chat/AdminChatView.tsx,
Chat,Chat Admin via /chat/admin,Admin,GET,/api/v1/chat/admin/:id,adminGetChat,backend/src/routes/chatRoutes.ts,chatService,chatValidator schemas,Conversation|ChatMessage|ChatReport,conversation active blocked closed; report open under_review resolved dismissed,N/A,admin-frontend uses /api/v1/admin/chat/* (system.routes) not /api/v1/chat/admin/*,
Chat,Chat Admin via /chat/admin,Admin,POST,/api/v1/chat/admin/export/:id,adminExportChat,backend/src/routes/chatRoutes.ts,chatService,chatValidator schemas,Conversation|ChatMessage|ChatReport,conversation active blocked closed; report open under_review resolved dismissed,N/A,admin-frontend uses /api/v1/admin/chat/* (system.routes) not /api/v1/chat/admin/*,
Chat,Chat Admin via /chat/admin,Admin,GET,/api/v1/chat/admin/list,adminListChats,backend/src/routes/chatRoutes.ts,chatService,chatValidator schemas,Conversation|ChatMessage|ChatReport,conversation active blocked closed; report open under_review resolved dismissed,N/A,admin-frontend uses /api/v1/admin/chat/* (system.routes) not /api/v1/chat/admin/*,
Chat,Chat Admin via /chat/admin,Admin,DELETE,/api/v1/chat/admin/message/:msgId,adminDeleteMsg,backend/src/routes/chatRoutes.ts,chatService,chatValidator schemas,Conversation|ChatMessage|ChatReport,conversation active blocked closed; report open under_review resolved dismissed,N/A,admin-frontend uses /api/v1/admin/chat/* (system.routes) not /api/v1/chat/admin/*,
Chat,Chat Admin via /chat/admin,Admin,POST,/api/v1/chat/admin/mute/:id,adminMuteChat,backend/src/routes/chatRoutes.ts,chatService,chatValidator schemas,Conversation|ChatMessage|ChatReport,conversation active blocked closed; report open under_review resolved dismissed,N/A,admin-frontend uses /api/v1/admin/chat/* (system.routes) not /api/v1/chat/admin/*,
Chat,Chat Admin via /chat/admin,Admin,PATCH,/api/v1/chat/admin/report/:id,adminResolveReport,backend/src/routes/chatRoutes.ts,chatService,chatValidator schemas,Conversation|ChatMessage|ChatReport,conversation active blocked closed; report open under_review resolved dismissed,N/A,admin-frontend uses /api/v1/admin/chat/* (system.routes) not /api/v1/chat/admin/*,
Chat,User Chat,User,GET,/api/v1/chat/:id/messages,getConversationMessages,backend/src/routes/chatRoutes.ts,chatService,chatValidator schemas,Conversation|ChatMessage|ChatReport,conversation active blocked closed; report open under_review resolved dismissed,frontend/src/api/chatApi.ts|frontend/src/hooks/useChat.ts|frontend/src/hooks/useChatList.ts,N/A,
Chat,User Chat,User,POST,/api/v1/chat/block,blockChat,backend/src/routes/chatRoutes.ts,chatService,chatValidator schemas,Conversation|ChatMessage|ChatReport,conversation active blocked closed; report open under_review resolved dismissed,frontend/src/api/chatApi.ts|frontend/src/hooks/useChat.ts|frontend/src/hooks/useChatList.ts,N/A,
Chat,User Chat,User,POST,/api/v1/chat/hide,hideChat,backend/src/routes/chatRoutes.ts,chatService,chatValidator schemas,Conversation|ChatMessage|ChatReport,conversation active blocked closed; report open under_review resolved dismissed,frontend/src/api/chatApi.ts|frontend/src/hooks/useChat.ts|frontend/src/hooks/useChatList.ts,N/A,
Chat,User Chat,User,GET,/api/v1/chat/list,getChatList,backend/src/routes/chatRoutes.ts,chatService,chatValidator schemas,Conversation|ChatMessage|ChatReport,conversation active blocked closed; report open under_review resolved dismissed,frontend/src/api/chatApi.ts|frontend/src/hooks/useChat.ts|frontend/src/hooks/useChatList.ts,N/A,
Chat,User Chat,User,POST,/api/v1/chat/read,markChatRead,backend/src/routes/chatRoutes.ts,chatService,chatValidator schemas,Conversation|ChatMessage|ChatReport,conversation active blocked closed; report open under_review resolved dismissed,frontend/src/api/chatApi.ts|frontend/src/hooks/useChat.ts|frontend/src/hooks/useChatList.ts,N/A,
Chat,User Chat,User,POST,/api/v1/chat/report,reportChat,backend/src/routes/chatRoutes.ts,chatService,chatValidator schemas,Conversation|ChatMessage|ChatReport,conversation active blocked closed; report open under_review resolved dismissed,frontend/src/api/chatApi.ts|frontend/src/hooks/useChat.ts|frontend/src/hooks/useChatList.ts,N/A,
Chat,User Chat,User,POST,/api/v1/chat/send,sendChatMessage,backend/src/routes/chatRoutes.ts,chatService,chatValidator schemas,Conversation|ChatMessage|ChatReport,conversation active blocked closed; report open under_review resolved dismissed,frontend/src/api/chatApi.ts|frontend/src/hooks/useChat.ts|frontend/src/hooks/useChatList.ts,N/A,
Chat,User Chat,User,POST,/api/v1/chat/start,startChat,backend/src/routes/chatRoutes.ts,chatService,chatValidator schemas,Conversation|ChatMessage|ChatReport,conversation active blocked closed; report open under_review resolved dismissed,frontend/src/api/chatApi.ts|frontend/src/hooks/useChat.ts|frontend/src/hooks/useChatList.ts,N/A,
Chat,User Chat,User,POST,/api/v1/chat/upload-url,getChatUploadUrl,backend/src/routes/chatRoutes.ts,chatService,chatValidator schemas,Conversation|ChatMessage|ChatReport,conversation active blocked closed; report open under_review resolved dismissed,frontend/src/api/chatApi.ts|frontend/src/hooks/useChat.ts|frontend/src/hooks/useChatList.ts,N/A,
